Stake,RoadName,latitude,longitude,X_coor,Y_coor,Maintenanc,Main_Sec,Date,COUNTYNAME,TOWNNAME,VILLAGENAM,Remark1
00K+000,台1線,25.045684,121.519621,302431.6323,2770938.304,一工處,中和段,2012/10/4,臺北市,中正區,黎明里,現地未設置里程牌，以推估方式辦理
00K+500,台1線,25.046898,121.514839,301948.6,2771070.9,一工處,中和段,2012/10/4,臺北市,中正區,光復里,現地未設置里程牌，以推估方式辦理
01K+500,台1線,25.05027,121.50381,300834.291,2771440.212,一工處,中和段,2012/5/25,新北市,三重區,清和里,
02K+000,台1線,25.052613,121.499597,300408.235,2771698.159,一工處,中和段,2012/5/25,新北市,三重區,同慶里,
02K+500,台1線,25.054866,121.495327,299976.481,2771946.129,一工處,中和段,2012/5/25,新北市,三重區,同安里,
03K+000,台1線,25.05712,121.491129,299552.007,2772194.25,一工處,中和段,2012/5/25,新北市,三重區,光明里,
03K+500,台1線,25.06029,121.48781,299215.868,2772544.164,一工處,中和段,2012/5/25,新北市,三重區,過田里,
04K+000,台1線,25.061564,121.483299,298760.24,2772683.66,一工處,中和段,2012/5/25,新北市,三重區,田安里,
04K+500,台1線,25.061555,121.478357,298261.631,2772680.876,一工處,中和段,2012/5/25,新北市,三重區,谷王里,
05K+000,台1線,25.061465,121.473403,297761.848,2772669.148,一工處,中和段,2012/5/25,新北市,三重區,頂崁里,
05K+500,台1線,25.061494,121.468475,297264.641,2772670.629,一工處,中和段,2012/5/25,新北市,三重區,頂崁里,
06K+000,台1線,25.061005,121.463553,296768.24,2772614.77,一工處,中和段,2012/5/25,新北市,新莊區,福基里,
06K+500,台1線,25.06041,121.458642,296272.979,2772547.16,一工處,中和段,2012/5/25,新北市,新莊區,昌平里,
07K+000,台1線,25.060507,121.45371,295775.34,2772556.226,一工處,中和段,2012/5/25,新北市,新莊區,昌平里,
07K+500,台1線,25.060226,121.44879,295279.052,2772523.445,一工處,中和段,2012/5/25,新北市,新莊區,中原里,
08K+000,台1線,25.058148,121.444434,294840.31,2772291.83,一工處,中和段,2012/5/25,新北市,新莊區,中原里,
08K+500,台1線,25.055135,121.440856,294480.4,2771956.92,一工處,中和段,2012/5/25,新北市,新莊區,中原里,
09K+000,台1線,25.051408,121.438066,294200.33,2771543.18,一工處,中和段,2012/5/25,新北市,泰山區,義仁村,
09K+500,台1線,25.047729,121.435229,293915.29,2771134.75,一工處,中和段,2012/5/25,新北市,泰山區,義仁村,
10K+000,台1線,25.04404,121.432401,293631.34,2770725.23,一工處,中和段,2012/5/25,新北市,泰山區,義仁村,
10K+500,台1線,25.040342,121.42959,293348.99,2770314.72,一工處,中和段,2012/5/25,新北市,泰山區,貴賢村,
11K+000,台1線,25.036648,121.426752,293063.9,2769904.65,一工處,中和段,2012/5/25,新北市,泰山區,貴和村,
11K+500,台1線,25.03362,121.423158,292702.27,2769568.11,一工處,中和段,2012/5/25,新北市,泰山區,貴和村,
12K+000,台1線,25.032303,121.418652,292248,2769420.82,一工處,中和段,2012/5/25,新北市,泰山區,貴和村,
12K+500,台1線,25.030713,121.414087,291787.86,2769243.29,一工處,中和段,2012/5/25,新北市,新莊區,丹鳳里,
13K+000,台1線,25.026946,121.412295,291608.29,2768825.49,一工處,中和段,2012/5/25,新北市,新莊區,雙鳳里,
13K+500,台1線,25.023062,121.413706,291752,2768395.71,一工處,中和段,2012/5/25,新北市,新莊區,雙鳳里,
14K+000,台1線,25.020153,121.409569,291335.375,2768072.235,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,迴龍村,
14K+500,台1線,25.017992,121.405537,290929.161,2767831.65,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,迴龍村,
15K+000,台1線,25.016755,121.400787,290450.163,2767693.208,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,龍華村,
15K+500,台1線,25.01486,121.39635,290002.96,2767481.993,一工處,中壢段,2012/5/25,新北市,樹林區,三興里,
16K+000,台1線,25.013911,121.391861,289550.192,2767375.561,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,龍壽村,
16K+500,台1線,25.01028,121.38942,289304.978,2766972.668,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,龍壽村,
17K+000,台1線,25.009249,121.385316,288891.07,2766857.29,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,龍壽村,
17K+500,台1線,25.009677,121.380419,288396.67,2766903.3,一工處,中壢段,2012/5/25,桃園縣,龜山鄉,龍壽村,
